Customer ID,Referred a Friend,Tenure_in_months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,City,Zip Code,Churn Value,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction (based  on service calls),Service issue topic,Average Speed of answer in seconds,Acquisition_id,Acquisition Cost,Retenion_cost_per_customer
8000-REIQB,No,1,Offer E,Yes,22.5,No,Yes,Cable,30,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.748,69.95,0,0,22.5,Female,73,San Diego,92117,1,3208,2,0,1,Payment related,44,3,20,3.7
4795-KTRTH,Yes,5,Offer E,Yes,47.28,Yes,Yes,DSL,12,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.24,371.65,40.64,0,236.4,Female,68,San Diego,92122,1,4287,4,1,1,Admin Support,35,3,20,3.7
9961-JBNMK,No,21,,Yes,42.27,No,Yes,Cable,8,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.672,2030.3,10.2,162,887.67,Male,79,Desert Center,92239,1,4317,1,1,1,Admin Support,102,3,20,5
8290-YWKHZ,Yes,32,,Yes,33.74,Yes,Yes,DSL,7,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,96.928,2931,17.88,205,1079.68,Female,69,Fallbrook,92028,1,5247,5,0,3,Admin Support,29,3,20,5.4
8051-HJRLT,No,1,Offer E,Yes,18.2,No,Yes,Cable,14,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.372,70.55,0,0,18.2,Female,72,Wrightwood,92397,1,2146,4,0,3,Admin Support,42,3,20,3.7
9061-TIHDA,Yes,13,,Yes,31.7,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.06,1233.65,48.09,86,412.1,Male,67,Murrieta,92563,1,2982,3,2,2.333333333,Admin Support,124,3,20,4.3
5931-FLJJF,Yes,7,,Yes,16.05,No,Yes,DSL,24,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,72.904,467.55,20.23,0,112.35,Male,75,Midway City,92655,1,3669,2,0,2,Contract related,112,3,20,3.7
7216-EWTRS,Yes,1,,Yes,17.35,Yes,Yes,Cable,25,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,104.832,100.8,0,0,17.35,Female,78,Newport Beach,92663,1,3128,2,1,1.5,Technical Support,43,3,20,3.7
4140-MUHUG,No,3,,Yes,18.38,No,Yes,DSL,22,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.324,220.95,0,0,55.14,Female,73,Oak View,93022,1,3561,2,1,2,Technical Support,84,3,20,3.7
5440-FLBQG,Yes,69,Offer A,Yes,48.88,Yes,Yes,DSL,4,No,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,112.736,7318.2,0,293,3372.72,Male,69,Santa Barbara,93110,1,4708,1,0,2,Streaming,101,3,20,7
9898-KZQDZ,Yes,40,,Yes,49.5,Yes,Yes,Cable,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.332,3640.45,0,0,1980,Female,65,Lee Vining,93541,1,5676,3,2,2.5,Admin Support,88,3,20,5.4
2205-YMZZJ,No,7,,Yes,39.51,Yes,Yes,Cable,14,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.192,546.95,0,0,276.57,Male,75,Clovis,93612,1,2015,6,0,3,Technical Support,124,3,20,3.7
7641-EUYET,Yes,46,,Yes,49.11,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.728,4541.2,46.64,86.28,2259.06,Male,76,Tranquillity,93668,1,5712,3,2,2.333333333,Admin Support,98,3,20,5.9
5373-SFODM,Yes,36,,Yes,24.54,Yes,Yes,Fiber Optic,6,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,88.66,3132.75,0,188,883.44,Male,65,San Lucas,93954,1,3041,2,1,2.4,Streaming,86,3,20,5.4
0022-TCJCI,No,45,,Yes,10.67,No,Yes,DSL,19,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,65.208,2791.5,0,0,480.15,Male,79,Daly City,94015,1,2654,6,0,2.2,Admin Support,104,3,20,5.9
3269-ATYWD,No,39,Offer C,Yes,41.93,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.476,3759.05,0,940,1635.27,Male,79,San Francisco,94123,1,4892,5,0,1,Contract related,113,3,20,5.4
7576-OYWBN,No,3,,Yes,30.25,Yes,Yes,DSL,31,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.092,231.8,0,72,90.75,Male,71,San Mateo,94402,1,2930,4,3,1.4,Streaming,86.66666667,3,20,3.7
5539-TMZLF,No,1,,Yes,33.84,No,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.54,69.75,0,0,33.84,Male,69,Concord,94520,1,5057,3,3,1.6,Payment related,85.33333333,3,20,3.7
3336-JORSO,No,33,Offer C,Yes,17.24,Yes,Yes,Cable,28,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,114.868,3655.45,0,1024,568.92,Female,70,Hayward,94542,1,3401,0,0,1.8,Payment related,84,3,20,5.4
6861-XWTWQ,Yes,7,,Yes,42.92,Yes,Yes,DSL,2,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.22,665.45,0,13,300.44,Male,71,Napa,94559,1,2487,1,0,2,Streaming,113,3,20,3.7
2397-BRLOM,Yes,8,,Yes,26.99,No,Yes,Cable,2,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.668,583.45,0,0,215.92,Male,67,San Rafael,94901,1,3443,3,1,1,Streaming,14,3,20,3.7
8510-AWCXC,No,13,Offer D,Yes,7.22,Yes,Yes,Cable,31,Yes,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,104.832,1308.1,0,406,93.86,Female,69,Novato,94945,1,3269,6,1,1,Streaming,25,3,20,4.3
7503-QQRVF,Yes,16,Offer D,Yes,26.12,No,Yes,Cable,9,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,77.272,1178.25,0,106,417.92,Male,74,San Jose,95127,1,2076,1,2,1,Contract related,106,3,20,4.3
2454-RPBRZ,Yes,12,Offer D,Yes,30.63,Yes,Yes,DSL,30,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,102.024,1060.2,49.06,318,367.56,Female,67,Catheys Valley,95306,1,2709,5,2,1,Streaming,99,3,20,4.3
7409-KIUTL,No,1,,Yes,28.64,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.84,71,0,0,28.64,Female,80,Escondido,92027,1,5345,3,0,3,Streaming,90,3,20,3.7
0679-IDSTG,Yes,1,,Yes,37.3,No,Yes,Fiber Optic,9,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.02,69.25,0,0,37.3,Female,73,Branscomb,95417,1,4568,1,3,1.666666667,Streaming,50,3,20,3.7
8802-UNOJF,No,12,Offer D,Yes,28.63,No,Yes,Fiber Optic,8,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,87.152,1029.75,44.58,82,343.56,Male,65,Philo,95466,1,5565,4,3,1,Admin Support,89,3,20,4.3
2815-CPTUL,No,5,,Yes,2.27,No,Yes,Cable,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.06,331.9,12.48,0,11.35,Male,68,Gasquet,95543,1,3684,0,0,1.857142857,Contract related,45,3,20,3.7
3677-IYRBF,No,2,,No,0,No,Yes,DSL,14,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.616,78.65,0,11,0,Female,73,Newcastle,95658,1,4002,3,0,1,Streaming,50,3,20,3.7
4803-AXVYP,No,38,Offer C,Yes,47.39,Yes,Yes,Cable,2,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.532,3734.25,0,0,1800.82,Female,75,Butte City,95920,1,3474,2,1,1,Admin Support,124,3,20,5.4
7395-IGJOS,Yes,17,,Yes,9.5,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,84.76,1329.2,0,239,161.5,Male,70,Quincy,95971,1,3443,1,2,2.333333333,Streaming,113,3,20,4.3
9907-SWKKF,No,1,Offer E,No,0,No,Yes,DSL,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,26.052,25.05,0,0,0,Female,69,Twain,95984,1,4842,4,2,1,Admin Support,52,3,20,3.7
9710-ZUSHQ,No,37,Offer C,Yes,41.85,Yes,Yes,Fiber Optic,2,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.02,4056.75,0,81,1548.45,Female,77,Red Bluff,96080,1,5849,5,0,1,Streaming,106,3,20,5.4
8058-JMEQO,No,9,Offer E,Yes,12.91,Yes,Yes,Fiber Optic,23,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,87.828,762.5,0,175,116.19,Female,76,San Diego,92121,1,3543,3,0,1.5,Contract related,45,3,20,3.7
7657-DYEPJ,No,38,Offer C,Yes,5.75,No,Yes,DSL,33,No,Yes,Yes,Yes,Yes,No,No,No,One Year,Yes,Credit Card,72.956,2497.35,0,824,218.5,Male,73,Los Angeles,90024,1,2645,2,2,2,Technical Support,50.5,3,20,5.4
7580-UGXNC,No,2,,Yes,25.74,No,Yes,Cable,7,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,57.044,104.2,0,0,51.48,Female,73,Culver City,90232,1,3016,0,0,2,Payment related,22,3,20,3.7
5178-LMXOP,Yes,1,,Yes,4.89,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.904,95.1,0,0,4.89,Male,71,Gardena,90248,1,5795,6,0,1,Payment related,81,3,20,3.7
7056-IMHCC,Yes,53,Offer B,Yes,7.94,Yes,Yes,Cable,7,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.976,5549.4,0,0,420.82,Male,69,Torrance,90501,1,5884,3,0,1.666666667,Streaming,76,3,20,6.3
8414-MYSHR,No,5,,Yes,4.59,No,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.056,449.75,0,0,22.95,Male,79,Arcadia,91007,1,2834,3,2,1,Technical Support,77,3,20,3.7
4988-IQIGL,No,1,,Yes,28.49,Yes,Yes,Cable,20,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.364,75.35,0,0,28.49,Male,80,Canoga Park,91304,1,4403,4,0,3,Streaming,88,3,20,3.7
9026-RNUJS,No,5,,Yes,18.69,No,Yes,DSL,31,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,52.364,237.25,0,74,93.45,Male,73,Van Nuys,91401,1,4618,3,1,1.8,Admin Support,70,3,20,3.7
1624-NALOJ,No,5,,Yes,36.36,Yes,Yes,Cable,13,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.392,502.6,0,6.53,181.8,Male,75,North Hollywood,91605,1,2960,0,0,1.4,Admin Support,117,3,20,3.7
8623-TMRBY,Yes,51,Offer B,Yes,43.58,Yes,Yes,Cable,24,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.568,4146.05,0,0,2222.58,Male,80,Chula Vista,91915,1,6245,1,0,1,Contract related,68,3,20,6.3
6900-PXRMS,No,26,Offer C,Yes,1.26,Yes,Yes,DSL,20,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,109.98,2710.25,0,542,32.76,Male,72,Spring Valley,91978,1,3157,3,4,1,Payment related,67,3,20,5
1771-OADNZ,Yes,29,Offer C,Yes,35.38,Yes,Yes,Fiber Optic,23,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.736,2745.2,0,631,1026.02,Male,70,Pauma Valley,92061,1,2151,6,0,1.5,Contract related,113,3,20,5
4433-JCGCG,Yes,46,Offer B,Yes,5.36,Yes,Yes,Cable,24,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,105.04,4680.05,0,1123,246.56,Male,80,San Diego,92129,1,2436,4,1,2.5,Streaming,23,3,20,5.9
4818-QIUFN,No,20,,Yes,11.82,Yes,Yes,Fiber Optic,6,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.316,1520.9,0,91,236.4,Female,69,Desert Hot Springs,92241,1,4997,4,0,2.333333333,Payment related,11,3,20,4.3
8631-NBHFZ,Yes,66,,Yes,30.03,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,82.576,5154.6,0,825,1981.98,Male,71,Running Springs,92382,1,5910,5,0,1.5,Admin Support,81,3,20,7
2403-BCASL,Yes,41,Offer B,Yes,45.04,Yes,Yes,Cable,32,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,116.428,4534.9,0,0,1846.64,Male,66,Santa Ana,92705,1,3711,0,0,2,Streaming,110,3,20,5.9
2860-RANUS,No,20,Offer D,Yes,29.29,Yes,Yes,DSL,16,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,89.232,1727.5,0,276,585.8,Female,67,Mc Kittrick,93251,1,3336,1,0,1.5,Streaming,72,3,20,4.3
5482-PLVPE,No,2,,No,0,No,Yes,DSL,12,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.324,41.85,0,5,0,Female,79,Daly City,94014,1,3278,0,0,2,Technical Support,116,3,20,3.7
4902-OHLSK,No,29,,Yes,20.98,Yes,Yes,Cable,18,No,No,No,Yes,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,102.596,2862.75,0,515,608.42,Female,76,Half Moon Bay,94019,1,4235,3,0,2,Admin Support,94,3,20,5
4597-NUCQV,No,24,,Yes,28.98,Yes,Yes,Cable,33,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,105.3,2440.15,0,805,695.52,Male,65,Oakland,94601,1,4287,2,1,3,Streaming,55,3,20,5
3754-DXMRT,No,2,,Yes,43.66,No,Yes,Fiber Optic,28,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,45.916,92.65,0,26,87.32,Male,78,San Pablo,94806,1,5655,5,1,2.75,Technical Support,43,3,20,3.7
7130-VTEWQ,No,8,,Yes,13.8,Yes,Yes,DSL,7,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.78,606.25,0,42,110.4,Female,74,San Rafael,94903,1,4174,3,1,2.5,Technical Support,31,3,20,3.7
