,Customer ID,Referred a Friend,Tenure_in_months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,City,Churn Value,CLTV,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction (based  on service calls),Service issue topic,Average Speed of answer in seconds,Acquisition_id,Acquisition Cost,Retenion_cost_per_customer,Number of Referrals,Total Revenue,Satisfaction Score,Senior Citizen,Married,Dependents
13,5564-NEMQO,No,1,Offer E,Yes,35.09,No,Yes,Cable,19,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.312,75.3,0.0,0.0,35.09,Female,80,Thermal,1,4902,7,1,2.0,Technical Support,106.0,3,20,3.7,0,130.39,2,Yes,No,No
14,6235-VDHOM,No,5,Offer E,No,0.0,No,Yes,Cable,29,No,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,29.588,131.05,0.0,38.0,0.0,Female,77,Riverside,1,4099,4,0,2.0,Streaming,107.0,3,20,3.7,0,131.05,2,Yes,No,No
15,0257-ZESQC,Yes,27,,Yes,7.02,No,Yes,DSL,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.208,1929.35,0.0,0.0,189.54,Female,80,Perris,1,4517,1,0,1.0,Technical Support,57.0,3,20,5.0,2,2118.89,1,Yes,Yes,No
16,3419-SNJJD,Yes,65,Offer B,Yes,18.39,Yes,Yes,Cable,31,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,109.46,6786.4,0.0,0.0,1195.35,Female,78,Yorba Linda,1,4196,5,0,1.5,Streaming,69.5,3,20,7.0,3,7981.75,1,Yes,Yes,No
17,5099-BAILX,Yes,43,Offer B,Yes,14.52,Yes,Yes,DSL,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,115.18,4687.9,0.0,0.0,624.36,Male,77,Santa Barbara,1,2728,1,1,2.0,Technical Support,52.0,3,20,5.9,1,5312.259999999999,2,Yes,Yes,No
18,1626-ERCMM,Yes,20,,Yes,5.31,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.332,1899.65,0.0,209.0,106.2,Male,75,Camp Nelson,1,5604,2,3,2.0,Technical Support,49.0,3,20,4.3,7,2005.8500000000001,1,Yes,Yes,No
19,5644-PDMZC,No,2,,Yes,47.47,Yes,Yes,DSL,21,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,93.08,161.5,0.0,34.0,94.94,Female,69,Delano,1,2065,5,0,2.0,Technical Support,27.0,3,20,3.7,0,256.44,2,Yes,No,No
20,0823-HSCDJ,No,52,,No,0.0,No,Yes,Cable,20,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,51.116,2550.9,0.0,0.0,0.0,Male,76,Temecula,1,5597,1,1,2.0,Technical Support,45.0,3,20,6.3,0,2580.9,2,Yes,No,No
21,0067-DKWBL,No,2,,Yes,43.99,No,Yes,Fiber Optic,30,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,51.22,91.1,0.0,27.0,87.98,Male,69,San Diego,1,3475,5,0,2.0,Payment related,98.0,3,20,3.7,0,179.07999999999998,2,Yes,No,No
22,6683-VLCTZ,No,20,,Yes,44.44,Yes,Yes,Cable,14,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,102.492,1842.8,0.0,258.0,888.8,Male,73,San Diego,1,5444,5,0,1.666666666666667,Admin Support,107.0,3,20,4.3,0,2851.6,3,Yes,No,No
23,9231-ZJYAM,No,4,,Yes,36.93,No,Yes,Cable,20,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.004,292.8,0.0,59.0,147.72,Female,65,Squaw Valley,1,5301,3,2,1.333333333333333,Technical Support,81.25,3,20,3.7,0,440.52,3,Yes,No,No
24,0781-LKXBR,No,9,,Yes,48.71,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,104.52,918.6,0.0,147.0,438.39,Male,65,San Francisco,1,4038,4,1,1.0,Payment related,13.0,3,20,3.7,0,1356.99,1,Yes,No,No
25,1907-UBQFC,No,10,,Yes,5.46,No,Yes,DSL,26,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.764,688.65,0.0,179.0,54.6,Male,69,San Francisco,1,3189,5,4,1.5,Payment related,119.0,3,20,3.7,0,773.25,1,Yes,No,No
26,7074-IEVOJ,No,3,,Yes,41.9,Yes,Yes,Cable,12,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,82.576,205.05,0.0,25.0,125.7,Female,75,San Francisco,1,3501,5,1,1.5,Streaming,83.0,3,20,3.7,0,330.75,1,Yes,No,No
27,7028-DVOIQ,No,35,,Yes,20.83,Yes,Yes,Cable,21,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.012,3395.8,0.0,0.0,729.05,Male,71,Birds Landing,1,2074,5,1,1.0,Admin Support,45.0,3,20,5.4,0,4244.85,1,Yes,No,No
28,9369-XFEHK,Yes,33,,Yes,33.19,Yes,Yes,DSL,16,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.824,2656.5,0.0,0.0,1095.27,Female,76,Pleasanton,1,3601,2,0,2.0,Streaming,96.0,3,20,5.4,1,3751.77,2,Yes,Yes,No
29,8111-SLLHI,Yes,39,,Yes,33.25,Yes,Yes,DSL,29,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,109.876,4284.8,0.0,1243.0,1296.75,Male,65,San Jose,1,4687,4,0,1.0,Contract related,122.0,3,20,5.4,1,5581.55,3,Yes,Yes,No
30,4086-YQSNZ,Yes,3,Offer E,Yes,3.29,No,Yes,Cable,10,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.616,224.05,0.0,0.0,9.87,Female,74,Glencoe,1,3834,0,0,1.0,Admin Support,79.0,3,20,3.7,1,233.92000000000002,2,Yes,Yes,No
31,8399-YNDCH,No,21,,Yes,34.62,No,Yes,Cable,15,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,62.452,1236.15,0.0,185.0,727.02,Male,80,Columbia,1,4716,1,1,1.0,Technical Support,33.0,3,20,5.0,0,1963.17,1,Yes,No,No
32,4187-CINZD,No,46,,Yes,6.13,No,Yes,Cable,33,No,Yes,No,No,Yes,Yes,No,No,One Year,No,Credit Card,99.06,4424.2,0.0,1460.0,281.98,Female,73,Lakewood,1,3180,1,1,2.0,Contract related,58.0,3,20,5.9,0,4706.18,2,Yes,No,No
33,9134-CEQMF,Yes,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,30,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,93.08,676.7,0.0,203.0,95.41,Male,75,Nice,1,3077,2,2,2.0,Admin Support,118.0,3,20,3.7,1,772.11,2,Yes,Yes,No
34,8519-IMDHU,Yes,15,,Yes,45.25,Yes,Yes,DSL,24,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,89.024,1345.55,0.0,323.0,678.75,Male,74,Alderpoint,1,4981,3,5,2.5,Payment related,52.0,3,20,4.3,1,2024.3,1,Yes,Yes,No
35,7206-GZCDC,No,1,Offer E,Yes,29.68,No,Yes,Cable,20,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.02,69.25,0.0,0.0,29.68,Female,75,Loleta,1,4371,3,1,2.0,Contract related,68.0,3,20,3.7,0,98.93,2,Yes,No,No
36,5419-CONWX,No,4,,Yes,12.68,No,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,103.792,442.85,0.0,49.0,50.72,Female,65,Pleasant Grove,1,2268,4,1,1.0,Technical Support,119.0,3,20,3.7,0,493.57000000000005,1,Yes,No,No
37,0506-LVNGN,No,5,,Yes,42.33,No,Yes,Cable,10,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,78.572,349.65,0.0,35.0,211.65,Female,78,Rancho Cordova,1,4028,5,4,1.0,Technical Support,101.0,3,20,3.7,0,561.3,1,Yes,No,No
38,4690-LLKUA,No,17,,Yes,40.93,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,46.852,770.6,0.0,0.0,695.81,Male,68,San Diego,1,3797,0,0,1.0,Payment related,65.0,3,20,4.3,0,1466.4099999999999,1,Yes,No,No
39,7279-BUYWN,No,41,,Yes,27.95,Yes,Yes,Cable,25,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,117.728,4689.5,0.0,1172.0,1145.95,Female,66,Buena Park,1,3380,2,0,1.0,Technical Support,53.0,3,20,5.9,0,5835.45,1,Yes,No,No
40,9606-PBKBQ,Yes,32,,Yes,5.99,Yes,Yes,DSL,25,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.4,2642.05,49.57,661.0,191.68,Male,69,Long Beach,1,4584,3,2,1.333333333333333,Streaming,73.0,3,20,5.4,1,2784.16,1,Yes,Yes,No
41,6689-TCZHQ,No,5,Offer E,Yes,12.27,No,Yes,Fiber Optic,22,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,82.108,378.4,0.0,83.0,61.35,Female,70,Claremont,1,4054,5,0,1.0,Contract related,69.0,3,20,3.7,0,439.75,3,Yes,No,No
42,8000-REIQB,No,1,Offer E,Yes,22.5,No,Yes,Cable,30,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.748,69.95,0.0,0.0,22.5,Female,73,San Diego,1,3208,2,0,1.0,Payment related,44.0,3,20,3.7,0,102.45,2,Yes,No,No
43,4795-KTRTH,Yes,5,Offer E,Yes,47.28,Yes,Yes,DSL,12,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.24,371.65,40.64,0.0,236.4,Female,68,San Diego,1,4287,4,1,1.0,Admin Support,35.0,3,20,3.7,1,577.41,1,Yes,Yes,No
44,9961-JBNMK,No,21,,Yes,42.27,No,Yes,Cable,8,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.672,2030.3,10.2,162.0,887.67,Male,79,Desert Center,1,4317,1,1,1.0,Admin Support,102.0,3,20,5.0,0,2907.77,1,Yes,No,No
45,8290-YWKHZ,Yes,32,,Yes,33.74,Yes,Yes,DSL,7,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,96.928,2931.0,17.88,205.0,1079.68,Female,69,Fallbrook,1,5247,5,0,3.0,Admin Support,29.0,3,20,5.4,1,3992.8,3,Yes,Yes,No
46,8051-HJRLT,No,1,Offer E,Yes,18.2,No,Yes,Cable,14,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,73.372,70.55,0.0,0.0,18.2,Female,72,Wrightwood,1,2146,4,0,3.0,Admin Support,42.0,3,20,3.7,0,88.75,3,Yes,No,No
47,9061-TIHDA,Yes,13,,Yes,31.7,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.06,1233.65,48.09,86.0,412.1,Male,67,Murrieta,1,2982,3,2,2.333333333333333,Admin Support,124.0,3,20,4.3,1,1597.66,1,Yes,Yes,No
48,5931-FLJJF,Yes,7,,Yes,16.05,No,Yes,DSL,24,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,72.904,467.55,20.23,0.0,112.35,Male,75,Midway City,1,3669,2,0,2.0,Contract related,112.0,3,20,3.7,1,559.67,2,Yes,Yes,No
49,7216-EWTRS,Yes,1,,Yes,17.35,Yes,Yes,Cable,25,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,104.832,100.8,0.0,0.0,17.35,Female,78,Newport Beach,1,3128,2,1,1.5,Technical Support,43.0,3,20,3.7,4,118.15,1,Yes,Yes,No
50,4140-MUHUG,No,3,,Yes,18.38,No,Yes,DSL,22,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.324,220.95,0.0,0.0,55.14,Female,73,Oak View,1,3561,2,1,2.0,Technical Support,84.0,3,20,3.7,0,276.09,2,Yes,No,No
51,5440-FLBQG,Yes,69,Offer A,Yes,48.88,Yes,Yes,DSL,4,No,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,112.736,7318.2,0.0,293.0,3372.72,Male,69,Santa Barbara,1,4708,1,0,2.0,Streaming,101.0,3,20,7.0,1,10690.92,3,Yes,Yes,No
52,9898-KZQDZ,Yes,40,,Yes,49.5,Yes,Yes,Cable,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,98.332,3640.45,0.0,0.0,1980.0,Female,65,Lee Vining,1,5676,3,2,2.5,Admin Support,88.0,3,20,5.4,1,5620.45,1,Yes,Yes,No
53,2205-YMZZJ,No,7,,Yes,39.51,Yes,Yes,Cable,14,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.192,546.95,0.0,0.0,276.57,Male,75,Clovis,1,2015,6,0,3.0,Technical Support,124.0,3,20,3.7,0,823.52,3,Yes,No,No
54,7641-EUYET,Yes,46,,Yes,49.11,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.728,4541.2,46.64,86.28,2259.06,Male,76,Tranquillity,1,5712,3,2,2.333333333333333,Admin Support,98.0,3,20,5.9,3,6753.619999999999,1,Yes,Yes,No
55,5373-SFODM,Yes,36,,Yes,24.54,Yes,Yes,Fiber Optic,6,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,88.66,3132.75,0.0,188.0,883.44,Male,65,San Lucas,1,3041,2,1,2.4,Streaming,86.0,3,20,5.4,1,4016.19,2,Yes,Yes,No
56,0022-TCJCI,No,45,,Yes,10.67,No,Yes,DSL,19,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,65.208,2791.5,0.0,0.0,480.15,Male,79,Daly City,1,2654,6,0,2.2,Admin Support,104.0,3,20,5.9,0,3271.65,1,Yes,No,No
57,3269-ATYWD,No,39,Offer C,Yes,41.93,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.476,3759.05,0.0,940.0,1635.27,Male,79,San Francisco,1,4892,5,0,1.0,Contract related,113.0,3,20,5.4,0,5544.32,1,Yes,No,No
58,7576-OYWBN,No,3,,Yes,30.25,Yes,Yes,DSL,31,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.092,231.8,0.0,72.0,90.75,Male,71,San Mateo,1,2930,4,3,1.4,Streaming,86.66666666666667,3,20,3.7,0,322.55,1,Yes,No,No
59,5539-TMZLF,No,1,,Yes,33.84,No,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.54,69.75,0.0,0.0,33.84,Male,69,Concord,1,5057,3,3,1.6,Payment related,85.33333333333333,3,20,3.7,0,103.59,1,Yes,No,No
60,3336-JORSO,No,33,Offer C,Yes,17.24,Yes,Yes,Cable,28,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,114.868,3655.45,0.0,1024.0,568.92,Female,70,Hayward,1,3401,0,0,1.8,Payment related,84.0,3,20,5.4,0,4294.37,1,Yes,No,No
61,6861-XWTWQ,Yes,7,,Yes,42.92,Yes,Yes,DSL,2,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.22,665.45,0.0,13.0,300.44,Male,71,Napa,1,2487,1,0,2.0,Streaming,113.0,3,20,3.7,1,965.8900000000001,2,Yes,Yes,No
62,2397-BRLOM,Yes,8,,Yes,26.99,No,Yes,Cable,2,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.668,583.45,0.0,0.0,215.92,Male,67,San Rafael,1,3443,3,1,1.0,Streaming,14.0,3,20,3.7,2,799.37,1,Yes,Yes,No
63,8510-AWCXC,No,13,Offer D,Yes,7.22,Yes,Yes,Cable,31,Yes,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,104.832,1308.1,0.0,406.0,93.86,Female,69,Novato,1,3269,6,1,1.0,Streaming,25.0,3,20,4.3,0,1401.9599999999998,1,Yes,No,No
64,7503-QQRVF,Yes,16,Offer D,Yes,26.12,No,Yes,Cable,9,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,77.272,1178.25,0.0,106.0,417.92,Male,74,San Jose,1,2076,1,2,1.0,Contract related,106.0,3,20,4.3,1,1596.17,1,Yes,Yes,No
65,2454-RPBRZ,Yes,12,Offer D,Yes,30.63,Yes,Yes,DSL,30,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,102.024,1060.2,49.06,318.0,367.56,Female,67,Catheys Valley,1,2709,5,2,1.0,Streaming,99.0,3,20,4.3,1,1378.7,3,Yes,Yes,No
66,7409-KIUTL,No,1,,Yes,28.64,No,Yes,DSL,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.84,71.0,0.0,0.0,28.64,Female,80,Escondido,1,5345,3,0,3.0,Streaming,90.0,3,20,3.7,0,99.64,3,Yes,No,No
67,0679-IDSTG,Yes,1,,Yes,37.3,No,Yes,Fiber Optic,9,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.02,69.25,0.0,0.0,37.3,Female,73,Branscomb,1,4568,1,3,1.666666666666667,Streaming,50.0,3,20,3.7,1,106.55,1,Yes,Yes,No
68,8802-UNOJF,No,12,Offer D,Yes,28.63,No,Yes,Fiber Optic,8,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,87.152,1029.75,44.58,82.0,343.56,Male,65,Philo,1,5565,4,3,1.0,Admin Support,89.0,3,20,4.3,0,1408.73,1,Yes,No,No
69,2815-CPTUL,No,5,,Yes,2.27,No,Yes,Cable,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.06,331.9,12.48,0.0,11.35,Male,68,Gasquet,1,3684,0,0,1.857142857142857,Contract related,45.0,3,20,3.7,0,330.77,2,Yes,No,No
70,3677-IYRBF,No,2,,No,0.0,No,Yes,DSL,14,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,31.616,78.65,0.0,11.0,0.0,Female,73,Newcastle,1,4002,3,0,1.0,Streaming,50.0,3,20,3.7,0,78.65,1,Yes,No,No
71,4803-AXVYP,No,38,Offer C,Yes,47.39,Yes,Yes,Cable,2,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.532,3734.25,0.0,0.0,1800.82,Female,75,Butte City,1,3474,2,1,1.0,Admin Support,124.0,3,20,5.4,0,5535.07,1,Yes,No,No
72,7395-IGJOS,Yes,17,,Yes,9.5,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,84.76,1329.2,0.0,239.0,161.5,Male,70,Quincy,1,3443,1,2,2.333333333333333,Streaming,113.0,3,20,4.3,1,1490.7,2,Yes,Yes,No
73,9907-SWKKF,No,1,Offer E,No,0.0,No,Yes,DSL,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,26.052,25.05,0.0,0.0,0.0,Female,69,Twain,1,4842,4,2,1.0,Admin Support,52.0,3,20,3.7,0,25.05,1,Yes,No,No
74,9710-ZUSHQ,No,37,Offer C,Yes,41.85,Yes,Yes,Fiber Optic,2,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,111.02,4056.75,0.0,81.0,1548.45,Female,77,Red Bluff,1,5849,5,0,1.0,Streaming,106.0,3,20,5.4,0,5605.2,1,Yes,No,No
75,8058-JMEQO,No,9,Offer E,Yes,12.91,Yes,Yes,Fiber Optic,23,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,87.828,762.5,0.0,175.0,116.19,Female,76,San Diego,1,3543,3,0,1.5,Contract related,45.0,3,20,3.7,0,878.69,3,Yes,No,No
76,7657-DYEPJ,No,38,Offer C,Yes,5.75,No,Yes,DSL,33,No,Yes,Yes,Yes,Yes,No,No,No,One Year,Yes,Credit Card,72.956,2497.35,0.0,824.0,218.5,Male,73,Los Angeles,1,2645,2,2,2.0,Technical Support,50.5,3,20,5.4,0,2715.85,3,Yes,No,No
77,7580-UGXNC,No,2,,Yes,25.74,No,Yes,Cable,7,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,57.044,104.2,0.0,0.0,51.48,Female,73,Culver City,1,3016,0,0,2.0,Payment related,22.0,3,20,3.7,0,155.68,1,Yes,No,No
78,5178-LMXOP,Yes,1,,Yes,4.89,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.904,95.1,0.0,0.0,4.89,Male,71,Gardena,1,5795,6,0,1.0,Payment related,81.0,3,20,3.7,1,99.99,1,Yes,Yes,No
79,7056-IMHCC,Yes,53,Offer B,Yes,7.94,Yes,Yes,Cable,7,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.976,5549.4,0.0,0.0,420.82,Male,69,Torrance,1,5884,3,0,1.666666666666667,Streaming,76.0,3,20,6.3,1,5970.219999999999,1,Yes,Yes,No
80,8414-MYSHR,No,5,,Yes,4.59,No,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.056,449.75,0.0,0.0,22.95,Male,79,Arcadia,1,2834,3,2,1.0,Technical Support,77.0,3,20,3.7,0,472.7,1,Yes,No,No
81,4988-IQIGL,No,1,,Yes,28.49,Yes,Yes,Cable,20,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.364,75.35,0.0,0.0,28.49,Male,80,Canoga Park,1,4403,4,0,3.0,Streaming,88.0,3,20,3.7,0,103.83999999999999,3,Yes,No,No
